PEF4364TV2.1	from hqew, 正润电子	INFINEON	10+	280	SSOP36
PESD15VL1BA	from hqew, 正润电子	NXP	10+	4700	SOD323
PIC16C622A-04I/P	from hqew, 正润电子	MIC	11+	500	DIP
REF195G	from hqew, 正润电子	AD	10+	1206	SOP
SA571D	from hqew, 正润电子	PHILIPS	10+	1218	SOP
SAA1064T	from hqew, 正润电子	PHILIPS	10+	1230	SOP
SAA1101T	from hqew, 正润电子	PHILIPS	10+	1211	SOP
SMA5106	from hqew, 正润电子	SANKEN	10+	1229	DIP
SMDA05C	from hqew, 正润电子	SEMTECH	10+	1215	SOP
SMDA12C	from hqew, 正润电子	SC	10+	1220	SOP
SP3239ECA	from hqew, 正润电子	SIPEX	10+	1214	SSOP
SP385ECA	from hqew, 正润电子	SIPEX	10+	1206	SSOP
SP385EEA	from hqew, 正润电子	SIPEX	10+	1212	SSOP
STC11L02E-35I-SOP16G	from hqew, 正润电子	STC	1227+	25	SOP16
T7200MC	from hqew, 正润电子	LUCENT	10+	1219	PLCC64
T7290PL	from hqew, 正润电子	AT&T	10+	1220	28
TA2056FNG	from hqew, 正润电子	TOSHIBA	10+	212	SOP
TC554001AFI-70L	from hqew, 正润电子	TOSHIBA	10+	531	TSSOP
TC58NVG0S3	from hqew, 正润电子	TOSHIBA	10+	1209	TSSOP
TC58V32AFT	from hqew, 正润电子	TOSHIBA	10+	121	TSOP
TD1410	from hqew, 正润电子	TD	11+	50000	SOP8
TD1501-3.3V/5V/ADJ	from hqew, 正润电子	TD	11+	20000	TO-22026
TD1501S	from hqew, 正润电子	TD	11+	20000	TO263
TD1591ADJ	from hqew, 正润电子	TD	11+	20000	SOP8
TD3111	from hqew, 正润电子	TD	11+	20000	SOP8
TD7580ADJ	from hqew, 正润电子	TD	11+	20000	SOP8
TD7590ADJ	from hqew, 正润电子	TD	11+	20000	TO-263
TJA1050T	from hqew, 正润电子	NXP	1114+	120	SOP8
TJA1054T	from hqew, 正润电子	NXP	10+	1207	SOP
TL16C554APN	from hqew, 正润电子	TI	09+	500	LQFP80
TLC32044CFN	from hqew, 正润电子	TI	10+	1210	PLCC
TLC320AD50C	from hqew, 正润电子	TI	10+	614	SOP
TP3406V	from hqew, 正润电子	NS	10+	1209	PLCC
U6805	from hqew, 正润电子	AT	10+	1205	SOP
UAA3220TS	from hqew, 正润电子	PHILIPS	10+	1208	SOP
UC2825DW	from hqew, 正润电子	TI	10+	1220	SOP16
UC2834DW	from hqew, 正润电子	TI	10+	1205	SOP
UC3524ADW	from hqew, 正润电子	TI	10+	1232	SOP16
UC3573N	from hqew, 正润电子	TI	10+	1228	DIP
UC3709DW	from hqew, 正润电子	TI	10+	1207	SOP
UC3710DW	from hqew, 正润电子	TI	10+	1206	SOP
UDN2585LW	from hqew, 正润电子	ALLEG	10+	1221	SOP
ULN2004APG	from hqew, 正润电子	TOSHIBA	11+	2635	DIP
VP301	from hqew, 正润电子	SANYO	10+	1220	DIP9
X25C02P	from hqew, 正润电子	XICOR	10+	1211	DIP
X9C102S	from hqew, 正润电子	XICOR	10+	1213	SOP
XC18V04-PC44C	from hqew, 正润电子	XILINX	10+	1207	PLCC
XC3030A-7PC84C	from hqew, 正润电子	XILINX	10+	1233	PLCC
XC7354-15PC68C	from hqew, 正润电子	XILINX	10+	1210	PLCC
XC9536XL-15VQ44C	from hqew, 正润电子	XILINX	10+	1230	QFP44
XCNFD102	from hqew, 正润电子	Other	10+	1214	SOP
Z85C3008VSC	from hqew, 正润电子	CZILOG	10+	5	PLCC
ZXBM1017	from hqew, 正润电子	ZETEX	10+	1211	TSSOP
63CPQ100PBF	from hqew, 正润电子	VISHAY	11+	1568	TO247
A03401	from hqew, 正润电子	ALPH	A1SV	2156	SOT23
AB38T-32.768KHZ	from hqew, 正润电子	ABRACON	11+	5000	SMD-DIP
ABM3-13.560MHZ-D2Y-T	from hqew, 正润电子	ABRACON	12+	11000	SMD-DIP
ABM3B-12.000MHZ-10-1-U-T	from hqew, 正润电子	ABRACON	1125+	870	SMD-DIP
ABM3B-48.000MHZ-B2-T	from hqew, 正润电子	ABRACON	11+	345	SMD-DIP
ABM7-12.000MHZ-B2-T	from hqew, 正润电子	ABRACON	12+	12000	SMD-DIP
ABM7-12.000MHZ-D2Y-T	from hqew, 正润电子	ABRACON	12+	10000	SMD-DIP
ABM7-16.000MHZ-D2Y-T	from hqew, 正润电子	ABRACON	11+	10000	SMD-DIP
ABM7-20.000MHZ-B4-T	from hqew, 正润电子	ABRACON	12+	10000	SMD-DIP
